canonical_key,class,method,file,jdk_annotation,cache_result,randoop_sef,category,randoop_vs_cache,red_alert,reasons
java.util.ArrayList$SubList.addAll(java.util.Collection),java.util.ArrayList$SubList,addAll,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,this escapes to global scope; mutates this via field size; mutates this via field modCount ... (+6 more)
"java.util.ArrayList$SubList.batchRemove(java.util.Collection,boolean)",java.util.ArrayList$SubList,batchRemove,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field size; mutates this via field modCount; mutates loaded object 'callee: load root from parameter this' via field modCount ... (+5 more)
java.util.ArrayList$SubList.checkForComodification(),java.util.ArrayList$SubList,checkForComodification,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList$SubList.contains(java.lang.Object),java.util.ArrayList$SubList,contains,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList$SubList.equals(java.lang.Object),java.util.ArrayList$SubList,equals,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,Object parameter escapes to global scope
java.util.ArrayList$SubList.get(int),java.util.ArrayList$SubList,get,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList$SubList.hashCode(),java.util.ArrayList$SubList,hashCode,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList$SubList.indexOf(java.lang.Object),java.util.ArrayList$SubList,indexOf,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList$SubList.iterator(),java.util.ArrayList$SubList,iterator,ArrayList.java,SideEffectFree,SIDE_EFFECTING,False,Annotated Mismatch,Both Side-Effecting,False,this escapes to global scope
java.util.ArrayList$SubList.lastIndexOf(java.lang.Object),java.util.ArrayList$SubList,lastIndexOf,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList$SubList.listIterator(int),java.util.ArrayList$SubList,listIterator,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,this escapes to global scope; loaded object 'callee: load root from parameter this' escapes to global scope
java.util.ArrayList$SubList.rangeCheckForAdd(int),java.util.ArrayList$SubList,rangeCheckForAdd,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,this escapes to global scope
java.util.ArrayList$SubList.remove(int),java.util.ArrayList$SubList,remove,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field size; mutates this via field modCount; mutates loaded object 'callee: load root from parameter this' via field modCount ... (+5 more)
java.util.ArrayList$SubList.removeAll(java.util.Collection),java.util.ArrayList$SubList,removeAll,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field size; mutates this via field modCount; mutates loaded object 'callee: callee: load root from parameter this' via field modCount ... (+5 more)
java.util.ArrayList$SubList.removeIf(java.util.function.Predicate),java.util.ArrayList$SubList,removeIf,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field size; mutates this via field modCount; Predicate parameter escapes to global scope ... (+6 more)
"java.util.ArrayList$SubList.removeRange(int,int)",java.util.ArrayList$SubList,removeRange,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field size; mutates this via field modCount; mutates loaded object 'callee: load root from parameter this' via field modCount ... (+5 more)
